Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,1115.93,наличный,Минск,БелАгропромбанк-VVUG-422,16-06-2016,20:41:15,недостаточно средств,да,16.35
юр. лицо,списание средств,888.9,безналичный,Минск,МаксБанк-BMPG-734,07-12-2006,14:10:30,успешно,нет,0.0
физ. лицо,получение средств,2999.92,безналичный,Минск,Приорбанк-DJID-582,27-08-2001,19:05:54,успешно,нет,0.0
физ. лицо,получение средств,1660.66,наличный,Минск,Белинвестбанк-HWVR-813,26-08-2019,10:26:00,успешно,нет,0.0
физ. лицо,списание средств,2807.61,наличный,Минск,Беларусбанк-PNNP-328,19-11-2018,09:15:35,неправильный ввод пин-кода,да,91.5
физ. лицо,списание средств,3488.68,безналичный,Минск,Белинвестбанк-IFJB-449,20-12-2008,14:07:45,неправильный ввод пин-кода,да,306.36
физ. лицо,списание средств,166.91,наличный,Минск,Беларусбанк-DWCT-846,01-08-2018,21:12:13,неправильный ввод пин-кода,да,14.38
физ. лицо,получение средств,2476.92,безналичный,Минск,Приорбанк-ZTSG-821,24-03-2014,19:57:15,успешно,нет,0.0
физ. лицо,списание средств,1253.25,безналичный,Минск,МаксБанк-BAVP-022,28-04-2005,18:19:37,недостаточно средств,да,86.73
физ. лицо,получение средств,2088.87,безналичный,Минск,Белинвестбанк-FPNC-207,23-06-2015,10:02:30,успешно,нет,0.0
физ. лицо,получение средств,1193.8,безналичный,Минск,Белинвестбанк-KHQZ-004,19-08-2006,12:37:38,успешно,нет,0.0
физ. лицо,списание средств,1748.46,безналичный,Минск,Приорбанк-OTNH-549,31-03-2014,07:40:12,недостаточно средств,да,52.21
юр. лицо,получение средств,950.03,наличный,Минск,Белинвестбанк-ONVI-675,17-08-2015,00:27:57,успешно,нет,0.0
юр. лицо,списание средств,3008.34,безналичный,Минск,БелАгропромбанк-NZHP-103,17-09-2002,17:49:43,недостаточно средств,нет,0.0
юр. лицо,списание средств,222.33,наличный,Минск,Белинвестбанк-VVQS-748,11-09-2004,20:54:26,недостаточно средств,нет,0.0
физ. лицо,получение средств,3717.96,наличный,Минск,МаксБанк-ZBDU-029,02-08-2006,13:54:06,успешно,нет,0.0
юр. лицо,списание средств,1346.24,безналичный,Минск,Белинвестбанк-GZGB-631,26-02-2006,05:47:42,успешно,да,102.69
юр. лицо,получение средств,2101.58,безналичный,Минск,Приорбанк-KBYD-048,01-11-2019,16:53:04,успешно,нет,0.0
юр. лицо,списание средств,3628.44,безналичный,Минск,Беларусбанк-APKG-929,14-04-2001,09:15:32,успешно,да,215.68
юр. лицо,получение средств,285.16,наличный,Минск,Белинвестбанк-CNRE-546,23-01-2009,10:53:24,успешно,нет,0.0
физ. лицо,списание средств,383.85,наличный,Минск,БелАгропромбанк-HSUR-493,26-12-2003,12:54:40,недостаточно средств,нет,0.0
физ. лицо,получение средств,4149.77,наличный,Минск,Беларусбанк-UVVD-664,11-06-2016,05:43:34,успешно,нет,0.0
юр. лицо,списание средств,3782.15,наличный,Минск,МаксБанк-ILLV-601,07-10-2007,15:32:47,недостаточно средств,нет,0.0
физ. лицо,получение средств,1936.53,наличный,Минск,Белинвестбанк-YNIJ-055,04-06-2001,14:10:53,успешно,нет,0.0
юр. лицо,получение средств,153.56,безналичный,Минск,МаксБанк-OUIK-600,28-04-2010,17:05:03,успешно,нет,0.0
физ. лицо,получение средств,4458.7,наличный,Минск,Беларусбанк-QJTZ-017,29-09-2016,03:17:05,успешно,нет,0.0
юр. лицо,получение средств,1170.9,наличный,Минск,Белинвестбанк-YRUW-836,10-11-2013,03:49:26,успешно,нет,0.0
юр. лицо,списание средств,3008.49,безналичный,Минск,Беларусбанк-BLZB-193,01-04-2015,15:49:33,неправильный ввод пин-кода,да,120.39
физ. лицо,получение средств,2671.83,наличный,Минск,МаксБанк-BFOG-345,12-09-2010,10:39:59,успешно,нет,0.0
юр. лицо,получение средств,4290.39,наличный,Минск,Белинвестбанк-SNHS-660,25-03-2008,05:47:01,успешно,нет,0.0
юр. лицо,списание средств,4722.76,безналичный,Минск,МаксБанк-QKTF-879,20-11-2017,08:24:59,недостаточно средств,нет,0.0
юр. лицо,списание средств,364.43,наличный,Минск,Беларусбанк-PPJL-696,07-01-2006,00:04:02,неправильный ввод пин-кода,да,23.54
юр. лицо,списание средств,1472.85,безналичный,Минск,Белинвестбанк-HJMF-561,12-01-2019,11:11:26,недостаточно средств,да,113.16
юр. лицо,получение средств,4882.35,наличный,Минск,Приорбанк-MQFA-613,26-01-2012,14:37:57,успешно,нет,0.0
юр. лицо,списание средств,3561.94,наличный,Минск,Белинвестбанк-OQZI-941,27-10-2019,00:55:13,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1745.11,наличный,Минск,МаксБанк-DRZO-081,02-04-2023,07:50:32,успешно,нет,0.0
физ. лицо,получение средств,4471.92,безналичный,Минск,МаксБанк-QCYK-281,29-10-2016,03:54:57,успешно,нет,0.0
юр. лицо,списание средств,4598.86,безналичный,Минск,Белинвестбанк-WAKZ-499,29-09-2010,16:36:36,успешно,да,140.72
юр. лицо,списание средств,3627.67,безналичный,Минск,Белинвестбанк-WKZG-492,31-12-2013,00:38:54,успешно,да,209.99
юр. лицо,списание средств,1143.29,безналичный,Минск,Беларусбанк-LMVS-307,05-12-2023,19:19:57,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3999.87,безналичный,Минск,Беларусбанк-KGYZ-902,08-08-2000,09:05:59,успешно,нет,0.0
физ. лицо,списание средств,247.7,безналичный,Минск,БелАгропромбанк-ZKGF-047,21-01-2024,23:25:35,успешно,да,7.77
физ. лицо,получение средств,3823.17,наличный,Минск,Приорбанк-QXEY-381,26-01-2004,10:39:54,успешно,нет,0.0
юр. лицо,получение средств,3207.44,наличный,Минск,Приорбанк-TKHE-590,02-04-2020,12:47:00,успешно,нет,0.0
физ. лицо,получение средств,1486.37,безналичный,Минск,Приорбанк-OLUZ-417,28-06-2003,05:27:17,успешно,нет,0.0
физ. лицо,получение средств,1796.72,безналичный,Минск,БелАгропромбанк-AGCD-845,26-03-2016,21:03:54,успешно,нет,0.0
физ. лицо,списание средств,3768.61,безналичный,Минск,Приорбанк-ZECI-341,13-12-2013,09:02:15,неправильный ввод пин-кода,да,133.25
юр. лицо,получение средств,4378.29,безналичный,Минск,Беларусбанк-QMBV-142,01-11-2008,03:22:48,успешно,нет,0.0
физ. лицо,списание средств,2269.78,наличный,Минск,Белинвестбанк-PVZJ-944,13-03-2021,03:03:43,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3777.84,наличный,Минск,БелАгропромбанк-JOKT-741,07-06-2011,16:46:21,успешно,нет,0.0
физ. лицо,получение средств,2031.34,наличный,Минск,Белинвестбанк-MGWL-227,09-01-2008,12:37:31,успешно,нет,0.0
юр. лицо,получение средств,2900.3,наличный,Минск,Белинвестбанк-AOKV-167,11-02-2008,10:35:25,успешно,нет,0.0
юр. лицо,получение средств,2601.04,наличный,Минск,Белинвестбанк-ZCFK-875,19-10-2020,16:24:02,успешно,нет,0.0
юр. лицо,получение средств,1954.11,безналичный,Минск,Приорбанк-QYSD-695,17-11-2008,08:08:43,успешно,нет,0.0
юр. лицо,получение средств,4766.99,наличный,Минск,Белинвестбанк-NAFK-686,22-02-2004,16:43:56,успешно,нет,0.0
физ. лицо,получение средств,798.42,безналичный,Минск,БелАгропромбанк-KRME-297,13-04-2013,14:38:21,успешно,нет,0.0
юр. лицо,получение средств,158.2,безналичный,Минск,МаксБанк-QBWU-773,15-07-2006,06:55:51,успешно,нет,0.0
юр. лицо,списание средств,4603.39,безналичный,Минск,Приорбанк-ELXB-416,13-07-2002,02:37:03,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1148.94,безналичный,Минск,Белинвестбанк-HYIJ-158,27-02-2017,14:56:55,успешно,нет,0.0
физ. лицо,списание средств,3995.05,безналичный,Минск,БелАгропромбанк-IFUN-542,26-09-2013,21:01:26,неправильный ввод пин-кода,да,347.71
юр. лицо,списание средств,2299.08,безналичный,Минск,Беларусбанк-YNOH-639,11-02-2010,23:18:57,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3148.54,безналичный,Минск,БелАгропромбанк-KFUX-915,09-12-2018,15:01:12,недостаточно средств,нет,0.0
юр. лицо,списание средств,3879.23,наличный,Минск,Приорбанк-RTQD-665,03-06-2002,04:26:30,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2756.19,наличный,Минск,Беларусбанк-MQRH-319,09-08-2016,04:07:29,успешно,нет,0.0
юр. лицо,списание средств,450.53,безналичный,Минск,БелАгропромбанк-YGIC-514,01-06-2022,02:20:43,недостаточно средств,да,42.69
физ. лицо,получение средств,259.52,безналичный,Минск,МаксБанк-HBUO-461,23-02-2015,08:40:39,успешно,нет,0.0
юр. лицо,получение средств,374.46,безналичный,Минск,Белинвестбанк-SLUY-214,26-04-2019,10:05:48,успешно,нет,0.0
юр. лицо,списание средств,1410.54,наличный,Минск,Приорбанк-YWPD-593,05-06-2008,04:03:53,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4824.89,безналичный,Минск,МаксБанк-XIHQ-722,26-06-2010,05:58:17,недостаточно средств,нет,0.0
юр. лицо,получение средств,352.87,безналичный,Минск,Белинвестбанк-AOOZ-382,27-02-2007,21:15:47,успешно,нет,0.0
юр. лицо,списание средств,3232.01,безналичный,Минск,БелАгропромбанк-AGWM-994,15-02-2004,14:50:41,успешно,да,70.48
физ. лицо,списание средств,3718.28,безналичный,Минск,Белинвестбанк-SACN-870,25-12-2007,08:06:13,недостаточно средств,да,353.97
физ. лицо,получение средств,4895.87,безналичный,Минск,МаксБанк-OBEA-473,10-03-2011,17:52:02,успешно,нет,0.0
физ. лицо,получение средств,157.63,наличный,Минск,МаксБанк-SYMP-455,12-12-2011,09:05:32,успешно,нет,0.0
юр. лицо,списание средств,1929.3,безналичный,Минск,Приорбанк-RLRX-468,12-11-2006,01:09:59,успешно,нет,0.0
юр. лицо,списание средств,4412.82,наличный,Минск,Белинвестбанк-QBTX-099,04-07-2015,18:58:15,недостаточно средств,нет,0.0
физ. лицо,получение средств,3478.83,безналичный,Минск,Беларусбанк-STDX-416,15-11-2013,11:29:25,успешно,нет,0.0
юр. лицо,получение средств,3729.31,безналичный,Минск,Белинвестбанк-OCNW-280,28-04-2000,00:23:50,успешно,нет,0.0
физ. лицо,списание средств,1809.79,наличный,Минск,БелАгропромбанк-JKWP-229,01-01-2005,16:19:15,недостаточно средств,да,63.0
физ. лицо,списание средств,2566.48,безналичный,Минск,БелАгропромбанк-MAGL-606,06-12-2016,05:23:57,успешно,да,44.58
физ. лицо,получение средств,3135.71,наличный,Минск,Приорбанк-WHTM-136,06-09-2001,22:30:42,успешно,нет,0.0
физ. лицо,списание средств,4299.23,наличный,Минск,БелАгропромбанк-CJVH-841,05-06-2023,00:22:48,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4316.9,наличный,Минск,Белинвестбанк-CJFI-247,18-08-2022,02:21:34,успешно,да,171.58
юр. лицо,получение средств,2894.02,безналичный,Минск,Белинвестбанк-LUVW-746,02-05-2008,16:30:54,успешно,нет,0.0
юр. лицо,получение средств,4433.0,безналичный,Минск,Приорбанк-SBVK-680,04-12-2016,11:56:54,успешно,нет,0.0
юр. лицо,получение средств,2499.21,безналичный,Минск,БелАгропромбанк-RROV-091,28-01-2012,15:29:53,успешно,нет,0.0
физ. лицо,получение средств,1806.51,наличный,Минск,Белинвестбанк-SOXY-941,10-06-2024,02:31:04,успешно,нет,0.0
юр. лицо,списание средств,3879.5,наличный,Минск,БелАгропромбанк-SCNT-567,21-11-2010,06:39:52,неправильный ввод пин-кода,да,100.76
юр. лицо,списание средств,2181.46,наличный,Минск,Беларусбанк-UOCE-378,08-02-2000,00:56:08,неправильный ввод пин-кода,да,199.17
физ. лицо,получение средств,2088.84,безналичный,Минск,Приорбанк-FGXQ-815,13-01-2005,10:58:40,успешно,нет,0.0
юр. лицо,получение средств,1467.61,безналичный,Минск,Приорбанк-IFSZ-586,19-04-2015,08:01:44,успешно,нет,0.0
юр. лицо,списание средств,3548.8,безналичный,Минск,Белинвестбанк-AXTM-330,01-09-2014,15:29:55,неправильный ввод пин-кода,да,338.8
физ. лицо,списание средств,766.26,безналичный,Минск,МаксБанк-XHWT-899,27-08-2006,02:06:22,успешно,да,25.84
физ. лицо,получение средств,2718.22,наличный,Минск,Беларусбанк-POXD-351,08-08-2017,13:41:47,успешно,нет,0.0
физ. лицо,получение средств,100.06,наличный,Минск,Беларусбанк-XWWR-573,31-07-2000,02:07:47,успешно,нет,0.0
юр. лицо,списание средств,2179.28,наличный,Минск,Беларусбанк-SHDZ-025,25-07-2018,15:42:24,неправильный ввод пин-кода,да,206.01
физ. лицо,получение средств,106.09,безналичный,Минск,Приорбанк-ZWFN-770,09-08-2004,03:45:10,успешно,нет,0.0
физ. лицо,списание средств,3210.04,безналичный,Минск,МаксБанк-DMNV-457,01-02-2019,02:09:05,успешно,нет,0.0
физ. лицо,получение средств,2340.96,наличный,Минск,Приорбанк-DFAF-969,13-09-2024,12:09:33,успешно,нет,0.0
юр. лицо,списание средств,4852.56,безналичный,Минск,МаксБанк-UMFK-969,22-11-2007,14:08:34,недостаточно средств,да,267.61
юр. лицо,получение средств,1954.11,наличный,Минск,Приорбанк-MJWV-926,20-07-2016,17:59:24,успешно,нет,0.0
юр. лицо,получение средств,4928.84,безналичный,Минск,Беларусбанк-VLRJ-201,06-11-2009,01:48:32,успешно,нет,0.0
юр. лицо,списание средств,524.86,безналичный,Минск,Белинвестбанк-RQID-647,05-06-2007,15:30:08,успешно,да,13.84
юр. лицо,получение средств,4742.4,безналичный,Минск,Беларусбанк-JKPE-638,15-01-2009,18:32:48,успешно,нет,0.0
юр. лицо,списание средств,4422.79,безналичный,Минск,Белинвестбанк-JPPW-627,08-04-2015,16:13:29,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1745.29,безналичный,Минск,Белинвестбанк-TGCG-434,16-03-2007,19:21:38,успешно,да,117.16
юр. лицо,списание средств,2519.87,безналичный,Минск,Приорбанк-XLUS-019,03-05-2017,00:39:33,недостаточно средств,да,50.43
физ. лицо,получение средств,2789.88,безналичный,Минск,Белинвестбанк-DYTH-797,10-03-2019,05:50:20,успешно,нет,0.0
юр. лицо,списание средств,2101.13,наличный,Минск,БелАгропромбанк-XWTY-615,05-03-2015,21:38:13,недостаточно средств,нет,0.0
физ. лицо,списание средств,3435.49,наличный,Минск,МаксБанк-DTCD-782,13-06-2023,21:56:30,недостаточно средств,да,41.6
физ. лицо,получение средств,2989.82,наличный,Минск,Белинвестбанк-SYOR-662,19-12-2015,12:36:46,успешно,нет,0.0
физ. лицо,получение средств,571.27,безналичный,Минск,Беларусбанк-PRNX-948,26-10-2000,09:59:09,успешно,нет,0.0
физ. лицо,получение средств,4624.09,наличный,Минск,Белинвестбанк-LAJQ-007,03-01-2016,00:15:44,успешно,нет,0.0
юр. лицо,списание средств,20.63,наличный,Минск,Беларусбанк-SIOT-279,16-08-2011,01:49:16,недостаточно средств,нет,0.0
физ. лицо,получение средств,709.21,наличный,Минск,МаксБанк-EQBV-191,07-04-2019,15:44:39,успешно,нет,0.0
юр. лицо,списание средств,4019.97,наличный,Минск,Приорбанк-UYDN-538,22-06-2022,09:24:30,неправильный ввод пин-кода,да,206.76
физ. лицо,списание средств,805.28,безналичный,Минск,МаксБанк-TEOL-261,14-07-2011,00:39:58,успешно,нет,0.0
физ. лицо,списание средств,2472.67,наличный,Минск,МаксБанк-LQSF-405,02-02-2007,08:23:50,недостаточно средств,да,202.33
физ. лицо,списание средств,2193.45,наличный,Минск,Беларусбанк-WQEO-819,18-08-2005,01:11:00,неправильный ввод пин-кода,да,66.9
физ. лицо,получение средств,4122.36,наличный,Минск,Беларусбанк-DJXV-218,15-11-2015,19:55:49,успешно,нет,0.0
юр. лицо,получение средств,4025.12,наличный,Минск,Приорбанк-FFYR-847,19-08-2022,17:46:11,успешно,нет,0.0
физ. лицо,получение средств,4772.99,наличный,Минск,МаксБанк-LEFX-863,11-03-2009,21:50:46,успешно,нет,0.0
физ. лицо,получение средств,2940.35,наличный,Минск,Белинвестбанк-UINH-099,06-05-2020,22:39:15,успешно,нет,0.0
физ. лицо,получение средств,3892.23,безналичный,Минск,Белинвестбанк-GZOL-131,21-07-2019,15:50:40,успешно,нет,0.0
физ. лицо,списание средств,1480.61,наличный,Минск,Беларусбанк-WQGB-750,08-02-2016,21:17:32,неправильный ввод пин-кода,да,18.19
юр. лицо,получение средств,14.94,наличный,Минск,Приорбанк-HXLB-527,05-01-2017,16:31:52,успешно,нет,0.0
юр. лицо,получение средств,870.29,наличный,Минск,МаксБанк-PWUR-362,15-04-2020,06:18:27,успешно,нет,0.0
физ. лицо,списание средств,657.07,безналичный,Минск,Приорбанк-MUOF-878,29-05-2001,12:52:58,успешно,да,40.12
юр. лицо,получение средств,1272.2,безналичный,Минск,БелАгропромбанк-AZUA-375,06-04-2020,22:46:48,успешно,нет,0.0
юр. лицо,списание средств,3688.46,безналичный,Минск,Белинвестбанк-OKLK-558,30-01-2005,05:16:36,успешно,нет,0.0
юр. лицо,списание средств,1658.28,наличный,Минск,Беларусбанк-EQPF-050,17-01-2015,05:31:36,неправильный ввод пин-кода,да,130.42
юр. лицо,списание средств,4577.98,наличный,Минск,Белинвестбанк-UQVU-566,05-08-2013,15:34:41,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3712.34,наличный,Минск,Приорбанк-YKJB-838,08-09-2020,19:01:42,успешно,нет,0.0
юр. лицо,получение средств,1283.08,безналичный,Минск,Беларусбанк-VBWM-503,13-10-2009,15:05:14,успешно,нет,0.0
физ. лицо,получение средств,4409.96,безналичный,Минск,Белинвестбанк-ZBQA-297,25-01-2009,02:40:52,успешно,нет,0.0
физ. лицо,списание средств,3922.19,безналичный,Минск,Приорбанк-XOJU-247,08-08-2009,04:48:37,недостаточно средств,нет,0.0
физ. лицо,получение средств,3819.27,наличный,Минск,МаксБанк-PFQH-428,04-12-2012,14:17:59,успешно,нет,0.0
физ. лицо,списание средств,1000.41,безналичный,Минск,Беларусбанк-ADIP-824,15-10-2024,01:41:46,недостаточно средств,да,10.36
физ. лицо,получение средств,4871.51,безналичный,Минск,Белинвестбанк-YNUA-395,14-05-2003,00:19:17,успешно,нет,0.0
юр. лицо,получение средств,2826.36,наличный,Минск,Белинвестбанк-EVXA-774,10-10-2001,01:39:53,успешно,нет,0.0
физ. лицо,списание средств,1801.35,безналичный,Минск,БелАгропромбанк-EBRL-481,25-11-2002,11:59:22,неправильный ввод пин-кода,да,51.78
юр. лицо,списание средств,3539.41,наличный,Минск,Приорбанк-BWPT-133,08-09-2006,12:08:56,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2444.07,безналичный,Минск,МаксБанк-OILG-127,18-03-2000,22:29:11,успешно,нет,0.0
физ. лицо,получение средств,952.3,безналичный,Минск,МаксБанк-QYDE-876,24-05-2020,02:40:21,успешно,нет,0.0
юр. лицо,получение средств,1779.47,безналичный,Минск,Приорбанк-PCIM-876,10-05-2002,15:14:54,успешно,нет,0.0
юр. лицо,получение средств,10.05,безналичный,Минск,БелАгропромбанк-MYDN-774,21-06-2005,08:26:15,успешно,нет,0.0
юр. лицо,списание средств,4767.43,безналичный,Минск,Белинвестбанк-CTDR-896,13-09-2014,17:55:13,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3229.52,наличный,Минск,МаксБанк-TMZD-968,01-05-2010,06:35:46,успешно,нет,0.0
юр. лицо,списание средств,29.16,наличный,Минск,БелАгропромбанк-FTYR-390,14-07-2017,13:13:45,недостаточно средств,нет,0.0
юр. лицо,списание средств,2474.0,безналичный,Минск,МаксБанк-LYSK-113,28-02-2008,11:48:01,недостаточно средств,нет,0.0
физ. лицо,списание средств,2403.12,безналичный,Минск,БелАгропромбанк-PVNC-539,27-06-2023,12:59:41,успешно,нет,0.0
юр. лицо,списание средств,4552.46,безналичный,Минск,Приорбанк-ZWKI-546,05-07-2002,18:47:21,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1737.81,безналичный,Минск,Белинвестбанк-IVWF-255,27-07-2000,11:00:29,успешно,нет,0.0
юр. лицо,списание средств,2073.83,наличный,Минск,Приорбанк-LYVV-833,07-07-2003,23:23:54,недостаточно средств,да,202.77
юр. лицо,получение средств,293.29,безналичный,Минск,Белинвестбанк-XGNV-230,09-04-2008,12:49:20,успешно,нет,0.0
физ. лицо,списание средств,1970.98,наличный,Минск,БелАгропромбанк-EWUR-474,10-07-2013,10:34:46,успешно,нет,0.0
физ. лицо,списание средств,3583.56,наличный,Минск,Приорбанк-OFCT-665,31-08-2011,22:24:26,недостаточно средств,нет,0.0
юр. лицо,получение средств,2394.42,наличный,Минск,МаксБанк-ABCL-334,06-11-2021,00:51:20,успешно,нет,0.0
юр. лицо,списание средств,2387.88,безналичный,Минск,Беларусбанк-KWUZ-323,05-11-2022,14:03:38,успешно,нет,0.0
физ. лицо,списание средств,549.81,безналичный,Минск,МаксБанк-CAIQ-721,28-12-2007,12:05:11,успешно,нет,0.0
физ. лицо,списание средств,3368.19,наличный,Минск,Беларусбанк-SJYH-340,31-10-2007,02:30:08,недостаточно средств,да,278.51
юр. лицо,получение средств,184.79,безналичный,Минск,Приорбанк-DHHZ-710,29-07-2007,10:14:30,успешно,нет,0.0
юр. лицо,получение средств,2396.71,безналичный,Минск,Белинвестбанк-WNZF-229,15-01-2010,23:09:24,успешно,нет,0.0
юр. лицо,получение средств,1643.94,безналичный,Минск,Приорбанк-TTQI-532,02-04-2005,12:17:30,успешно,нет,0.0
физ. лицо,списание средств,1637.25,безналичный,Минск,Приорбанк-UHLX-520,12-01-2007,04:09:37,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4018.69,безналичный,Минск,Беларусбанк-BOJX-168,06-06-2005,07:14:44,успешно,да,115.88
физ. лицо,списание средств,4113.63,безналичный,Минск,Беларусбанк-ZCQA-155,03-10-2019,10:11:13,недостаточно средств,да,269.22
юр. лицо,списание средств,3931.22,безналичный,Минск,Приорбанк-HPTE-536,09-06-2010,22:23:29,недостаточно средств,да,350.6
юр. лицо,получение средств,1832.4,наличный,Минск,МаксБанк-BING-939,19-11-2000,06:16:30,успешно,нет,0.0
юр. лицо,списание средств,4027.59,безналичный,Минск,МаксБанк-TPUL-573,15-12-2015,18:33:22,недостаточно средств,да,168.72
физ. лицо,получение средств,2142.76,безналичный,Минск,БелАгропромбанк-PQTV-723,25-11-2022,05:03:12,успешно,нет,0.0
физ. лицо,списание средств,3961.31,безналичный,Минск,МаксБанк-VCOG-698,19-05-2023,01:42:24,успешно,да,372.97
юр. лицо,получение средств,57.06,наличный,Минск,БелАгропромбанк-XSLK-690,30-05-2004,20:57:09,успешно,нет,0.0
физ. лицо,списание средств,3543.7,безналичный,Минск,МаксБанк-UJZE-390,24-07-2005,21:55:16,недостаточно средств,нет,0.0
физ. лицо,получение средств,2302.25,наличный,Минск,Беларусбанк-RJTH-314,02-05-2010,18:31:45,успешно,нет,0.0
физ. лицо,списание средств,4802.44,безналичный,Минск,МаксБанк-SENZ-871,13-09-2000,14:30:19,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4882.39,безналичный,Минск,Приорбанк-SALU-863,03-08-2011,21:54:14,успешно,да,445.89
физ. лицо,списание средств,15.37,безналичный,Минск,Белинвестбанк-SCWD-004,27-03-2004,05:24:33,неправильный ввод пин-кода,да,0.99
физ. лицо,получение средств,2128.84,безналичный,Минск,Белинвестбанк-PYJZ-756,17-09-2011,00:00:04,успешно,нет,0.0
юр. лицо,получение средств,2881.98,безналичный,Минск,Белинвестбанк-WNHS-711,02-08-2024,06:36:41,успешно,нет,0.0
юр. лицо,списание средств,2835.5,наличный,Минск,Беларусбанк-UPCB-327,10-11-2024,16:15:40,успешно,да,225.06
физ. лицо,получение средств,871.44,безналичный,Минск,Беларусбанк-WBJG-091,25-07-2010,18:38:42,успешно,нет,0.0
юр. лицо,списание средств,751.99,наличный,Минск,Белинвестбанк-UPJL-658,30-05-2014,11:49:29,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,509.45,безналичный,Минск,Беларусбанк-NZHS-779,27-10-2009,04:07:35,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,546.05,безналичный,Минск,Приорбанк-OKEY-981,09-05-2005,18:05:09,успешно,нет,0.0
физ. лицо,получение средств,762.74,безналичный,Минск,БелАгропромбанк-VNPG-255,13-07-2020,17:43:40,успешно,нет,0.0
физ. лицо,получение средств,823.9,безналичный,Минск,Беларусбанк-BSIS-743,20-08-2023,20:32:51,успешно,нет,0.0
юр. лицо,списание средств,4782.75,наличный,Минск,МаксБанк-LMCF-933,20-02-2006,22:11:15,успешно,нет,0.0
физ. лицо,списание средств,2326.41,безналичный,Минск,БелАгропромбанк-XWMH-997,06-02-2024,14:37:38,неправильный ввод пин-кода,да,65.93
юр. лицо,списание средств,2271.29,наличный,Минск,БелАгропромбанк-NWMK-522,17-09-2000,19:45:16,успешно,да,187.78
физ. лицо,получение средств,4607.77,наличный,Минск,Приорбанк-EZIR-299,19-10-2008,05:55:18,успешно,нет,0.0
физ. лицо,списание средств,4576.2,наличный,Минск,Беларусбанк-NZAU-797,01-12-2023,20:16:48,недостаточно средств,да,162.48
юр. лицо,списание средств,2910.88,наличный,Минск,БелАгропромбанк-CSRC-477,06-05-2012,05:38:24,успешно,нет,0.0
физ. лицо,получение средств,4849.19,наличный,Минск,МаксБанк-TWRL-890,18-12-2006,21:05:20,успешно,нет,0.0
юр. лицо,списание средств,1715.53,безналичный,Минск,Беларусбанк-TUSZ-126,20-07-2022,10:22:17,недостаточно средств,да,25.05
физ. лицо,списание средств,1713.26,наличный,Минск,БелАгропромбанк-DGDD-418,29-09-2003,20:38:35,неправильный ввод пин-кода,да,99.64
физ. лицо,списание средств,4475.65,наличный,Минск,Белинвестбанк-ALZD-471,05-02-2009,18:55:11,успешно,нет,0.0
юр. лицо,получение средств,4681.76,наличный,Минск,БелАгропромбанк-LZDD-453,16-02-2022,17:05:47,успешно,нет,0.0
физ. лицо,списание средств,3312.87,наличный,Минск,МаксБанк-KGZN-808,15-09-2018,05:16:23,успешно,да,317.78
юр. лицо,получение средств,4886.12,наличный,Минск,Белинвестбанк-NOPQ-280,22-07-2018,21:46:04,успешно,нет,0.0
физ. лицо,получение средств,1943.68,безналичный,Минск,Беларусбанк-UXAE-608,20-08-2020,11:25:43,успешно,нет,0.0
физ. лицо,списание средств,477.1,безналичный,Минск,БелАгропромбанк-DLRZ-238,29-09-2004,09:18:27,успешно,да,46.0
физ. лицо,получение средств,4796.77,наличный,Минск,Приорбанк-YMZC-658,16-03-2001,12:15:01,успешно,нет,0.0
физ. лицо,списание средств,2415.46,безналичный,Минск,БелАгропромбанк-NBGA-841,26-08-2005,20:54:27,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,173.62,наличный,Минск,Приорбанк-WOKK-853,20-01-2016,16:28:35,недостаточно средств,нет,0.0
физ. лицо,списание средств,333.28,безналичный,Минск,Белинвестбанк-ECKJ-879,04-08-2020,01:37:33,неправильный ввод пин-кода,да,6.22
физ. лицо,списание средств,3941.74,наличный,Минск,Беларусбанк-ALGM-883,12-12-2003,16:44:08,недостаточно средств,нет,0.0
юр. лицо,списание средств,3093.54,безналичный,Минск,МаксБанк-OZPA-778,27-05-2010,17:01:21,недостаточно средств,нет,0.0
